from_id,to_id
1,2
1,6
2,3
2,4
2,5
3,4
5,6
6,7
6,8
9,10
9,11
9,12
11,12
11,14
11,15
13,14
14,15
16,17
16,18
17,19
18,19
20,21
20,22
21,22
22,23
9,22
14,22
